consentimento,TI01[SQ001],TI01[SQ002],TI01[SQ004],TI01[SQ003],TI01[SQ005],TI01[SQ006],TI01[SQ007],TI01[SQ008],TI02[SQ001],TI02[SQ002],TI02[SQ003],TI02[SQ004],TI02[SQ005],TI02[SQ006],TI02[SQ007],TI02[SQ008],TI02[SQ009],hab2,hab3,hab4,HAB01[SQ001],HAB01[SQ002],HAB01[SQ003],HAB01[SQ004],HAB01[SQ005],HAB01[SQ006],HAB01[SQ007],HAB01[SQ008],hab5[SQ007],hab5[SQ008],hab5[SQ002],hab5[SQ001],hab5[SQ003],hab5[SQ004],hab5[SQ005],hab5[SQ006],hab6[SQ001],hab6[SQ002],hab6[SQ003],hab6[SQ004],hab7[SQ001],hab7[SQ002],hab7[SQ003],hab7[SQ004],octs1,octs2,octs3,octs4[SQ001],octs4[SQ002],octs4[SQ003],octs4[SQ004],octs5[SQ001],octs5[SQ002],octs5[SQ003],octs5[SQ004],octs5[SQ005],octs6[SQ001],octs6[SQ002],octs6[SQ003],octs6[SQ004],octs6[SQ005],octs6[SQ006],odc2,odc4[SQ001],odc4[SQ002],odc4[SQ003],odc4[SQ004],odc4[SQ005],odc4[SQ006],odc4[SQ007],odc4[SQ008],odc4[SQ009],odc1[SQ001],odc1[SQ002],odc1[SQ003],odc1[SQ004],odc1[SQ005],odc1[SQ006],odc1[SQ007],odc3[SQ001],odc3[SQ002],odc3[SQ003],odc3[SQ004],odc3[SQ005],odc3[SQ006],odc3[SQ007],odc3[SQ008],odc3[SQ009],adc2,adc8,adc4,adc5,adc07,adc1[SQ001],adc1[SQ002],adc1[SQ003],adc1[SQ004],adc1[SQ005],adc1[SQ006],adc1[SQ007],adc1[SQ008],adc1[SQ009],adc1[SQ010],adc1[SQ011],adc1[SQ012],adc1[SQ013],adc1[SQ014],adc1[SQ015],adc3[SQ001],adc3[SQ002],adc3[SQ003],adc3[SQ004],adc6[SQ001],adc6[SQ002],adc6[SQ003],MO01[SQ001],MO01[SQ002],MO01[SQ003],MO01[SQ004],MO01[SQ005],MO01[SQ006],MO01[SQ007],MO01[SQ008],MO01[SQ009],MO01[SQ010],MO01[SQ011],MO01[SQ012],MO01[SQ013],MO02[SQ001],MO02[SQ002],MO02[SQ003],MO02[SQ004],MO02[SQ005],MO02[SQ006],MO02[SQ007],MO02[SQ008],MO02[SQ009],MO02[SQ010],MO02[SQ011],MO02[SQ012],MO03[SQ001],MO03[SQ002],MO03[SQ003],MO03[SQ004],MO03[SQ005],MO03[SQ006],MO03[SQ007],MO03[SQ008],MO05,MO07,MO04[SQ001],MO04[SQ002],MO04[SQ003],MO04[SQ004],MO06[SQ001],MO06[SQ002],MO06[SQ003],MO06[SQ004],VAL01[SQ001],VAL01[SQ002],VAL01[SQ003],VAL01[SQ004],VAL01[SQ005],VAL01[SQ006],VAL01[SQ007],VAL01[SQ008],VAL01[SQ009],VAL01[SQ010],VAL02[SQ001],VAL02[SQ002],VAL02[SQ003],VAL02[SQ004],VAL02[SQ005],CE02,CE03,CE04,CE05,CE06,CE10,CE07,CE08,CE11,CE13,CE14
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Muito Interessado,Interessado,Pouco Interessado,Interessado,Nada Interessado,Pouco Interessado,Nada Interessado,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Rev FAPESP BBC,Insuficiente,Positivas,Frequentemente,Nunca,Frequentemente,Nunca,Às vezes,Às vezes,Frequentemente,Frequentemente,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Atrasado,Muitos benefícios,Poucos riscos,Discordo totalmente,Concordo totalmente,Concordo totalmente,Discordo em partes,Concordo em parte,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em parte,Nada preocupado,Nada preocupado,Nada preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Muito importante,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,Discordo em parte,Concordo totalmente,Concordo em parte,Discordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,Nada importante,Importante,Importante,Muito importante,Muito importante,,Um pouco importante,Muito importante,Não sei,Frequentemente,Sobre temas controversos de interesse público nos quais você tem alguma expertise.,8,8,Sim,5 vezes,5 vezes,Nenhuma vez,5 vezes,,Nenhuma vez,mais de 5 vezes,3 vezes,4 vezes,3 vezes,3 vezes,Nenhuma vez,Nenhuma vez,2 vezes,Nenhuma vez,Muito importante,Muito importante,Muito importante,,Frequentemente,Raramente,Raramente,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Concordo totalmente,Não,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Não conheço,Não conheço,Não conheço,Participei como docente,Não pertenço,Não pertenço,Pertenço e frequento,Não pertenço,Não pertenço,Não pertenço,Pertenço e frequento,Pertenço e frequento,Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz",Masculino,Ensino Médio,Branca,Não tenho religião,,tanto ciência básica como aplicada,De esquerda,Sênior,Ciências Biológicas,Sudeste,30
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Pouco Interessado,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Revista FAPESP; Jornal da USP; alguns twiters,Nulo,Negativas,Frequentemente,Nunca,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Às vezes,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,1.0,3.0,7.0,7.0,9.0,9.0,9.0,9.0,Atrasado,Muitos benefícios,Alguns riscos,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em parte,Discordo em parte,Concordo totalmente,Concordo em parte,Concordo totalmente,Nada preocupado,Nada preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Importante,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Concordo em parte,Concordo em parte,Concordo em parte,Discordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,Importante,Importante,Importante,Muito importante,Muito importante,Muito importante,Importante,Importante,Importante,"Em geral, não",Sobre temas controversos de interesse público nos quais você tem alguma expertise.,1,1,,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,2 vezes,2 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Não sei,Não sei,Não sei,Não sei,Nunca,Frequentemente,Frequentemente,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Não,Concordo parcialmente,,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Participei como docente,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Não fiz, mas poderia fazer","Não fiz, mas poderia fazer","Não fiz, mas poderia fazer",,Ensino Superior,Branca,Ateu ou agnóstico,Nada importante,ciência básica,De esquerda,1D,Ciências Biológicas,Sudeste,10
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Pouco Interessado,Interessado,Interessado,Interessado,Interessado,Interessado,Nada Interessado,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,,Insuficiente,Positivas,Raramente,Raramente,Raramente,Raramente,Raramente,Às vezes,Às vezes,Às vezes,Muito prejudicial,Muito prejudicial,Muito prejudicial,Um pouco prejudicial,Muito prejudicial,Prejudicial,Muito prejudicial,Muito prejudicial,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Avançado,Muitos benefícios,Alguns riscos,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo em partes,Concordo totalmente,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo em parte,Nada preocupado,Nada preocupado,Muito preocupado,Extremamente preocupado,Extremamente preocupado,Muito preocupado,Muito importante,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo em parte,Concordo em parte,Discordo em parte,Concordo em parte,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Frequentemente,"Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",0,0,Sim,2 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Muito importante,,Muito importante,Nada importante,Raramente,Frequentemente,,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Concordo totalmente,Não,Participei como aluno,Participei como aluno,Participei como aluno,Participei como docente,Não conheço,Participei como docente,Não conheço,Participei como aluno,Não pertenço,"Pertenço, mas não frequento muito","Pertenço, mas não frequento muito",Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Sim, já fiz","Não fiz, mas poderia fazer","Sim, já fiz",Masculino,Ensino Médio,Branca,Ateu ou agnóstico,Nada importante,ciência aplicada,De esquerda,2,Ciências Agrárias,Sul,21
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Pouco Interessado,Interessado,Pouco Interessado,Muito Interessado,Interessado,Pouco Interessado,Nada Interessado,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediário,Muitos benefícios,Nenhum risco,Concordo em partes,Concordo totalmente,Concordo totalmente,Discordo em partes,Concordo totalmente,Discordo em parte,Concordo em parte,Discordo totalmente,Concordo em parte,Nada preocupado,Preocupado,Preocupado,Extremamente preocupado,Extremamente preocupado,Muito preocupado,Muito importante,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Discordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo em parte,Discordo em parte,Concordo em parte,Importante,Importante,Importante,Importante,Importante,Muito importante,Muito importante,Importante,Nada importante,"Em geral, não","Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",1,0,Não,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,mais de 5 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Importante,Importante,Muito importante,Muito importante,Nunca,Raramente,Nunca,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Ensino Superior,Preta,Ateu ou agnóstico,Nada importante,tanto ciência básica como aplicada,De esquerda,2,Ciências Exatas e da Terra,Sudeste,3
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Interessado,Interessado,Interessado,Muito Interessado,Muito Interessado,Interessado,Interessado,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Revista FAPESP,Insuficiente,Negativas,Frequentemente,Às vezes,Às vezes,Frequentemente,Às vezes,Frequentemente,Frequentemente,Frequentemente,Muito prejudicial,Muito prejudicial,Muito prejudicial,Um pouco prejudicial,Muito prejudicial,Um pouco prejudicial,Muito prejudicial,Muito prejudicial,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,Atrasado,Muitos benefícios,Poucos riscos,,Concordo totalmente,,,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo em parte,Muito preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Extremamente preocupado,Extremamente preocupado,Importante,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo em parte,Concordo totalmente,Discordo totalmente,Concordo totalmente,Importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Frequentemente,"Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",0,o,,mais de 5 vezes,3 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,3 vezes,Nenhuma vez,1 vez,3 vezes,Nenhuma vez,3 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Muito importante,Importante,Muito importante,Muito importante,Frequentemente,Raramente,Raramente,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Concordo totalmente,,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Conheço mas não participei,Participei como docente,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer",Não sei,"Sim, já fiz","Sim, já fiz",,Ensino Médio,Branca,Cristã católica ,Importante,tanto ciência básica como aplicada,Liberal,1D,Ciências Exatas e da Terra,Sudeste,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Interessado,Interessado,Interessado,Muito Interessado,Interessado,Muito Interessado,Pouco Interessado,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Ciência Hoje; Spectrum; Scientific American; Revista Pesquisa Fapesp,Insuficiente,Positivas,Frequentemente,Às vezes,Às vezes,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Prejudicial,Muito prejudicial,Muito prejudicial,10.0,,,10.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Nenhum risco,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo em parte,Muito preocupado,Muito preocupado,Extremamente preocupado,Muito preocupado,Extremamente preocupado,Extremamente preocupado,Muito importante,Sim,Não,Não,Não,Não,Sim,Não,Não,Sim,Concordo em parte,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo em parte,Discordo em parte,Concordo totalmente,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Raramente,Sobre temas controversos de interesse público nos quais você tem alguma expertise.,1,1,Não,3 vezes,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,2 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Importante,,Muito importante,Muito importante,Frequentemente,Raramente,Nunca,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Concordo totalmente,Não,,,Participei como docente,,,,,Participei como docente,Não pertenço,Não pertenço,"Pertenço, mas não frequento muito","Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Pertenço e frequento,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Sim, já fiz","Sim, já fiz","Sim, já fiz",Masculino,Ensino Fundamental,Branca,Não tenho religião,,ciência aplicada,De esquerda,1D,Engenharias,Nordeste,1
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Interessado,Interessado,Interessado,Muito Interessado,Interessado,Interessado,Pouco Interessado,Não,Não,Sim,Sim,Não,Sim,Não sei,Sim,Não,Boletim SBPC; Boletim da UFF; Boletim da FAPERJ; Revista Inteligente ia; Horizontes Antropologia os; Vibrante; Antropolotica;,Insuficiente,Positivas,Frequentemente,Às vezes,Frequentemente,Às vezes,Frequentemente,Frequentemente,Frequentemente,Às vezes,Muito prejudicial,Muito prejudicial,Muito prejudicial,,Muito prejudicial,Não causa prejuízos,Prejudicial,Muito prejudicial,10.0,,10.0,6.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Muitos riscos,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo em parte,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Muito importante,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Concordo em parte,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo totalmente,Discordo totalmente,Concordo totalmente,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Importante,Raramente,Sobre temas controversos de interesse público nos quais você tem alguma expertise.,10,10,,mais de 5 vezes,1 vez,2 vezes,3 vezes,Nenhuma vez,2 vezes,3 vezes,3 vezes,mais de 5 vezes,4 vezes,3 vezes,1 vez,,mais de 5 vezes,Nenhuma vez,Importante,Muito importante,Importante,,Frequentemente,Frequentemente,Raramente,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Concordo parcialmente,,Participei como docente,Participei como docente,,Participei como docente,Participei como docente,Participei como docente,Conheço mas não participei,Participei como docente,Não pertenço,"Pertenço, mas não frequento muito",Pertenço e frequento,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Pertenço e frequento,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Sim, já fiz","Não fiz, mas poderia fazer","Sim, já fiz",Masculino,Ensino Fundamental Incompleto,Preta,Não tenho religião,,não se aplica,De esquerda,2,Ciências Humanas,Sudeste,21
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Interessado,Muito Interessado,Interessado,Muito Interessado,Interessado,Interessado,Nada Interessado,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,"Jogos, ferias",Insuficiente,Negativas,Às vezes,Nunca,Raramente,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Muito prejudicial,Muito prejudicial,Prejudicial,Prejudicial,Muito prejudicial,Um pouco prejudicial,Prejudicial,Muito prejudicial,10.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Nenhum risco,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em partes,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,Preocupado,Preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Preocupado,Muito importante,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo totalmente,Discordo em parte,Concordo totalmente,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Frequentemente,"Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",2,2,Não,3 vezes,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,1 vez,1 vez,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,Muito importante,,Muito importante,Importante,Nunca,Frequentemente,Não se aplica a mim,Não,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Concordo totalmente,Não,Conheço mas não participei,Participei como aluno,Conheço mas não participei,Participei como docente,Participei como docente,Conheço mas não participei,Conheço mas não participei,Participei como docente,Não pertenço,Pertenço e frequento,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz",Masculino,Ensino Fundamental,Branca,Ateu ou agnóstico,Nada importante,tanto ciência básica como aplicada,De esquerda,2,Ciências Biológicas,Nordeste,3
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Pouco Interessado,Nada Interessado,Interessado,Interessado,Muito Interessado,Nada Interessado,Nada Interessado,Muito Interessado,Não,Não,Não,Não,Não,Não,Não,Não,Não,Revistas científicas,Insuficiente,,Às vezes,Nunca,Às vezes,Às vezes,Frequentemente,Às vezes,Frequentemente,Raramente,Prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Irrelevante para a ciência,Um pouco prejudicial,,Muito prejudicial,10.0,,8.0,9.0,10.0,10.0,10.0,9.0,Intermediário,Muitos benefícios,Nenhum risco,Concordo em partes,Concordo totalmente,Concordo totalmente,Não sei,Concordo em parte,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em parte,Preocupado,Nada preocupado,Preocupado,Preocupado,Extremamente preocupado,Extremamente preocupado,Importante,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Discordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,,Concordo em parte,Concordo totalmente,Não sei,Importante,Importante,Importante,Muito importante,Importante,Importante,Importante,Um pouco importante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Interessado,Interessado,Interessado,Muito Interessado,Interessado,Pouco Interessado,Pouco Interessado,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,"Scientific American Magazine, Tecnoblog site, science direct, Research Gate",Insuficiente,Muito negativas/ de hostilidade à ciência,Frequentemente,Nunca,Às vezes,Frequentemente,Frequentemente,Frequentemente,Às vezes,Às vezes,Muito prejudicial,Muito prejudicial,Prejudicial,Muito prejudicial,Prejudicial,Prejudicial,Prejudicial,Muito prejudicial,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Alguns riscos,Discordo em partes,Concordo em partes,Concordo em partes,Concordo em partes,Concordo totalmente,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo em parte,Preocupado,Preocupado,Preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Muito importante,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,Concordo totalmente,Um pouco importante,Um pouco importante,Um pouco importante,Um pouco importante,Muito importante,Muito importante,Importante,Um pouco importante,Um pouco importante,"Em geral, não","Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",0,0,Sim,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Importante,Importante,Pouco importante,Nada importante,Nunca,Raramente,Raramente,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Concordo parcialmente,Não,Não conheço,Não conheço,Não conheço,Não conheço,Conheço mas não participei,Conheço mas não participei,Não conheço,Participei como docente,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, e não faria de jeito nenhum","Não fiz, mas poderia fazer","Não fiz, mas poderia fazer","Não fiz, mas poderia fazer",Masculino,Ensino Fundamental Incompleto,Branca,Não tenho religião,,ciência aplicada,De centro,2,Engenharias,Sul,13
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Nada Interessado,Interessado,Interessado,Interessado,Muito Interessado,Nada Interessado,Pouco Interessado,Nada Interessado,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,revista Fapesp,Insuficiente,Positivas,Frequentemente,Nunca,Nunca,Frequentemente,Às vezes,Às vezes,Frequentemente,Raramente,Não causa prejuízos,Não causa prejuízos,Muito prejudicial,Não causa prejuízos,Muito prejudicial,Prejudicial,Um pouco prejudicial,Muito prejudicial,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Nenhum risco,Discordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo em parte,Discordo em parte,Discordo totalmente,Concordo em parte,Nada preocupado,Nada preocupado,Preocupado,Preocupado,Extremamente preocupado,Muito preocupado,Pouco importante,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Discordo totalmente,Concordo totalmente,Concordo em parte,Discordo totalmente,Concordo totalmente,Discordo em parte,Concordo totalmente,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Importante,Frequentemente,Sobre os resultados de sua pesquisa,2,2,Não,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,1 vez,1 vez,2 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,mais de 5 vezes,Importante,Muito importante,Muito importante,,Frequentemente,Nunca,Frequentemente,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Concordo totalmente,Não,Não conheço,Não conheço,Não conheço,Não conheço,Não conheço,Não conheço,Participei como docente,Participei como docente,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Pertenço e frequento,Não sei,Não sei,Não sei,"Sim, já fiz","Não fiz, e não faria de jeito nenhum","Não fiz, e não faria de jeito nenhum","Não fiz, e não faria de jeito nenhum","Não fiz, e não faria de jeito nenhum",Masculino,Ensino Superior,Branca,Cristã católica ,Pouco importante,tanto ciência básica como aplicada,De direita,2,Ciências Agrárias,Nordeste,7
